state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Kansas,1077702.3750171475,4340421.556493012,1473431.6137645226,538804.484853259,2051719.9179384182,748875.4727394636,2051030.1465615893,1826040.4991547891,1705457.8952619033,1825312.2885081973,1296575.21261169,6081060.894204933,1655055.1205614135,767643.0183758849,912620.3030730622,496509.34661757975,0,1003003.3879390525,980267.336328761,2339343.7764802687,1722340.6689698538,2178100.075955582,1164801.7457790012,794863.0190520391,910393.8112715709,397758.2030493858,1493450.1965557972,315008.58033785596,1766300.4441248216,2177883.412369101,1920232.2795271033,958548.2696812003,1897644.5935092457,1540854.034236418,1023861.6963113141,1219393.1416443663,318879.4906729713,2259386.3522522664,1684034.6967988117,2171274.0847662967,1482846.1044614795,660058.4728285079,954652.6969111881,831178.3053776445,1324787.6630248877,2083467.3990686506,1635631.5110326267,2246770.472929716,1366300.755069825,868994.1602360489,988108.8893811046
Kentucky,550848.5263369466,5004831.636708912,2444083.245180696,718475.1117012105,3053863.7961664204,1744203.3079477649,1135295.4842196172,860532.9813150091,728340.6278434324,1157205.5387959224,526769.7908714615,7084037.996022174,2583575.8365915488,467694.4090922831,280149.1491280358,815543.5042797785,1003003.3879390525,0,972271.2373170381,1497694.6365749072,751035.2660880946,1279917.9212841485,568593.2665814479,1085735.701963657,703572.2878614756,605875.2527757774,2330769.9392170906,1126194.328452858,2768749.1931725214,1307972.7673510232,979547.0883304236,1918134.8341148002,992115.0723959135,553721.6986160872,1582866.6395349118,373129.53057773894,1070005.6912263394,3192657.118188358,754149.4950377234,1258366.6786278165,561528.4296506699,1357147.2303703104,247642.79978594603,1352584.1819439225,2310415.932383781,1254001.798300726,636834.7739310195,3130958.0998153035,388646.5942998932,730321.2305230871,1919171.7272639987
Louisiana,510474.94303912006,5315450.680667946,1931872.869693433,480391.0968474831,2654654.6627202947,1581163.5871276825,2049562.6123672258,1739540.9182709048,1601469.9401450728,1004936.0465026519,773562.9310873754,6617058.361464788,2544635.3771603103,1195953.961118304,1149429.7243094053,1258486.842515574,980267.336328761,972271.2373170381,0,2441704.0225223997,1631953.3633612809,2200429.015409098,1495614.0105724847,1624723.4994172598,270271.35699010605,863113.7626151117,2449588.639056594,1285895.7040444731,2444022.9773360845,2244494.7249080623,1880381.3870499425,1450079.2911754728,1921667.2854916744,1223274.1745711013,1978773.5057329675,1345009.9646864638,739736.1371824443,3122854.2864412246,1681765.3574696088,2168666.925586603,1047950.3973850982,1629553.3246697842,731928.948073235,573805.3778703016,2133334.580783163,2208911.611916906,1457240.578448049,3158780.4280611146,1308810.9998177944,1459562.7114728729,1908961.6755297063
Maine,1949505.3631284442,5254639.320010677,3805898.971952387,2207687.337127626,4300775.026638474,2972996.6656199126,418316.78037211054,738316.5511888076,865566.3706172055,2133323.564904617,1746620.9201197394,8234881.130730268,3566814.336007986,1571861.0026708073,1447821.3875505864,1915586.0443657457,2339343.7764802687,1497694.6365749072,2441704.0225223997,0,832173.837773944,275931.41788559384,1179010.3898262524,1893727.640898917,2172889.0763278347,1979788.9496393388,3192366.1058487883,2300727.92193531,3981088.214569533,201345.74290571446,588688.6904337103,3297595.7793061235,522256.1013498516,1301414.7688102205,2326584.3796844627,1156169.9730968042,2509482.2090733964,4128840.861691532,760286.605949103,329161.95474166167,1510952.1863115837,2336416.0018666177,1717054.6014443866,2848470.484528296,3457671.657186962,255901.8530916094,1028566.6629053932,3966842.0351214525,1133272.777269991,1547359.924172042,2994655.874277248
Maryland,1128940.7727149497,5334716.542173581,3185122.375117043,1464577.2266936542,3767627.41121298,2438237.588814987,421402.1224087846,110445.44739176468,33798.35016549367,1339171.3959875219,914881.1695249584,7785008.889540803,3195529.41581608,1014273.082788235,821953.5016758901,1410461.8291229892,1722340.6689698538,751035.2660880946,1631953.3633612809,832173.837773944,0,573046.6352828225,738636.9685503928,1543981.056877821,1367845.9624602974,1328387.0271265798,2884809.453687885,1779887.859294637,3469509.116062957,630830.1673918844,249499.58242565725,2660714.2630998236,318070.53815345635,473523.23213829263,2049531.9170406978,527819.8712623499,1819609.7804858817,3795236.8696752987,149701.47764670322,537540.3478520127,682543.2220256643,1928203.006725855,930293.4082951491,2084700.2510086219,2982897.304302222,637082.3125618654,199224.90155589257,3691113.480290695,363109.55175222293,1135763.256122586,2555370.822178883
Massachusetts,1700711.0597141671,5347699.401098028,3651346.4182175514,1997479.8716927157,4181267.795509856,2846528.7491327063,151656.21002615054,472337.13687782414,605456.1476475825,1857765.2617617669,1486391.462265156,8155048.571450021,3502047.619435335,1418593.794748001,1269139.7999841766,1787411.3020096617,2178100.075955582,1279917.9212841485,2200429.015409098,275931.41788559384,573046.6352828225,0,1045753.578532667,1816859.0233801687,1933938.6975769196,1802387.1802960336,3146930.1235256577,2173019.771597442,3868382.1521965233,100183.4849953992,324032.7471721748,3134888.5885193367,288314.3483923522,1034433.7215477151,2281982.447618597,965486.6843643297,2322272.6012589834,4080207.092485894,526417.4068068085,57923.56205829342,1243439.2792943427,2247764.2991902,1485531.5258505396,2631576.3098442596,3355779.4297587425,228804.25972297782,764466.1448996085,3937311.637699524,900603.7703126888,1440556.8224945744,2902188.9945279416
Michigan,1117875.678351113,4628735.931443943,2627019.987352651,1132242.469770823,3136120.7489943146,1802310.5207203114,939486.8319585272,809900.6393675792,740478.036162904,1683781.3555333293,1071936.2524482764,7115458.695422283,2482204.4693207284,399511.9894149222,347251.445636186,742427.7308974771,1164801.7457790012,568593.2665814479,1495614.0105724847,1179010.3898262524,738636.9685503928,1045753.578532667,0,809649.3092678906,1237861.3080088315,829322.6632813032,2154491.924501202,1128485.6301490471,2822628.6073495112,1029786.7228993925,848759.6130960362,2121100.5571819395,788397.3779582265,893333.137635522,1311536.074222117,283184.6167953549,1363656.5157222454,3074445.3281027153,632380.661224789,1050346.6434697288,1012151.3651461779,1215921.0016148887,808891.9807852287,1768596.1939117906,2311787.2934192424,924035.2685552901,776612.4485181413,2958875.0989723704,529903.8090193341,406867.5894210889,1863218.8356430512
Minnesota,1484037.4706268955,3919105.2978825723,2037080.06857479,1146419.5418671502,2430268.1084468295,1144010.6736709087,1729388.9683546082,1619231.4388372689,1542765.4998269673,2208881.9809308047,1583715.8110972734,6343988.936997205,1685344.600998672,618982.3464560879,825362.9394179047,366239.76919065526,794863.0190520391,1085735.701963657,1624723.4994172598,1893727.640898917,1543981.056877821,1816859.0233801687,809649.3092678906,0,1449396.0727890376,763406.9507070412,1345207.8372738564,551602.3810547501,2103388.0223741205,1781321.0015439712,1654587.5882608097,1593706.9067551151,1583795.8157744084,1596908.0630165734,511669.04464072327,1036222.0049771323,1107755.4720264005,2269530.070585836,1442024.0380922467,1831063.874498112,1645259.4109395233,447019.2839260121,1216227.4484307154,1617396.5783390445,1571277.1925244497,1653941.552064735,1553134.315107348,2149231.0395789393,1276538.6231133249,408943.68269990856,1103325.590016504
Mississippi,270821.3139326039,5240127.885461972,2063706.2515925232,371763.8867632353,2761652.1944438596,1594713.1925831574,1783480.1672110525,1476319.7052356969,1337972.1879773405,930870.8533703805,548169.1658514523,6761940.419122584,2544911.2642033063,963758.6950294224,894602.7810830097,1087380.1196644618,910393.8112715709,703572.2878614756,270271.35699010605,2172889.0763278347,1367845.9624602974,1933938.6975769196,1237861.3080088315,1449396.0727890376,0,691761.4464794941,2403834.173498094,1189185.4382045316,2526245.463705441,1976275.7348893546,1615328.4342213268,1556804.6564881804,1653678.8231097911,975753.6119186312,1848828.3691437843,1076660.1743088942,748621.9241820368,3139314.4574845107,1413423.4898964935,1903347.8771003252,815949.7080052139,1520455.2507795622,461750.6991688391,762205.5348027495,2166365.879999525,1939045.4178648563,1197923.0670438008,3148050.100800212,1039668.9572453253,1237959.4417695275,1887735.5828445903
Missouri,775096.8913494236,4578498.801282563,1858549.500907102,390795.58595271636,2449471.5152367735,1139604.0749837658,1670203.3352077855,1433469.3496658218,1310511.0846065572,1529924.0695470069,949812.3732160872,6478569.1545511,2008036.540427278,436295.7523233101,533877.8834992392,397929.24212886975,397758.2030493858,605875.2527757774,863113.7626151117,1979788.9496393388,1328387.0271265798,1802387.1802960336,829322.6632813032,763406.9507070412,691761.4464794941,0,1795926.7920983864,558236.505683154,2162875.340692601,1809362.8528576596,1533031.570631083,1336436.6246241003,1517993.4344888614,1149103.1457927076,1162940.995115575,837412.5670361931,534724.5457059445,2616894.2435318064,1297372.3499122264,1791880.2355967432,1106694.1727393623,855155.9806656459,585266.1017552993,965315.6549069736,1709725.4348634325,1724548.0991135985,1237921.918591894,2578987.3553729746,970105.81060168,637318.521211058,1338382.1023681245
